index_left,index_middle,index_right,reflectance_surround_left,reflectance_center_left,emission_spot_left,reflectance_surround_middle,reflectance_center_middle,emission_spot_middle,reflectance_surround_right,reflectance_center_right,emission_spot_right,ImageName,ImageExr,ImageNpy,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sound_1.started,BB_Trial.resp,BB_Trial.color,BB_Trial.rt,text.started,text.stopped,sound_1.stopped,sound_2.started,block,sound_4.started,participant,session,L/B,scene,condition,nTrialsPerBlock,date,expName,psychopyVersion,frameRate,Unnamed: 43
6,10,9,0,0.027777777777778,1.0,0,0.694444444444444,1.0,0,0.444444444444444,1.0,ReadingArea_rsl0-rcl2-esl100-rsm0-rcm69-esm100-rsr0-rcr44-esr100,exr/ReadingArea_rsl0-rcl2-esl100-rsm0-rcm69-esm100-rsr0-rcr44-esr100.exr,ReadingArea_rsl0-rcl2-esl100-rsm0-rcm69-esm100-rsr0-rcr44-esr100.npz,,,,,0,10,10,148,,right,red,1.54,1729.3246641159058,1729.6678550243378,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
1,13,2,0,0.111111111111111,0.298245614035088,0,0.111111111111111,3.10526315789474,0,0.25,0.298245614035088,ReadingArea_rsl0-rcl11-esl29-rsm0-rcm11-esm310-rsr0-rcr25-esr29,exr/ReadingArea_rsl0-rcl11-esl29-rsm0-rcm11-esm310-rsr0-rcr25-esr29.exr,ReadingArea_rsl0-rcl11-esl29-rsm0-rcm11-esm310-rsr0-rcr25-esr29.npz,,,,,0,11,11,118,,right,red,1.5,1731.3555240631104,1731.7023220062256,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
0,7,13,0,0.027777777777778,0.298245614035088,0,0.111111111111111,1.0,0,0.111111111111111,3.10526315789474,ReadingArea_rsl0-rcl2-esl29-rsm0-rcm11-esm100-rsr0-rcr11-esr310,exr/ReadingArea_rsl0-rcl2-esl29-rsm0-rcm11-esm100-rsr0-rcr11-esr310.exr,ReadingArea_rsl0-rcl2-esl29-rsm0-rcm11-esm100-rsr0-rcr11-esr310.npz,,,,,0,12,12,159,,right,red,1.56,1733.3887300491333,1733.7343201637268,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
6,7,3,0,0.027777777777778,1.0,0,0.111111111111111,1.0,0,0.444444444444444,0.298245614035088,ReadingArea_rsl0-rcl2-esl100-rsm0-rcm11-esm100-rsr0-rcr44-esr29,exr/ReadingArea_rsl0-rcl2-esl100-rsm0-rcm11-esm100-rsr0-rcr44-esr29.exr,ReadingArea_rsl0-rcl2-esl100-rsm0-rcm11-esm100-rsr0-rcr44-esr29.npz,,,,,0,13,13,47,,right,red,2.32,1737.1861000061035,1737.5688290596008,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
6,0,1,0,0.027777777777778,1.0,0,0.027777777777778,0.298245614035088,0,0.111111111111111,0.298245614035088,ReadingArea_rsl0-rcl2-esl100-rsm0-rcm2-esm29-rsr0-rcr11-esr29,exr/ReadingArea_rsl0-rcl2-esl100-rsm0-rcm2-esm29-rsr0-rcr11-esr29.exr,ReadingArea_rsl0-rcl2-esl100-rsm0-rcm2-esm29-rsr0-rcr11-esr29.npz,,,,,0,14,14,302,,left,green,2.46,1741.0546720027924,1741.3984150886536,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
4,8,11,0,0.694444444444444,0.298245614035088,0,0.25,1.0,0,1.0,1.0,ReadingArea_rsl0-rcl69-esl29-rsm0-rcm25-esm100-rsr0-rcr100-esr100,exr/ReadingArea_rsl0-rcl69-esl29-rsm0-rcm25-esm100-rsr0-rcr100-esr100.exr,ReadingArea_rsl0-rcl69-esl29-rsm0-rcm25-esm100-rsr0-rcr100-esr100.npz,,,,,0,15,15,403,,left,green,0.96,1743.1162691116333,1743.462618112564,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
3,14,10,0,0.444444444444444,0.298245614035088,0,0.25,3.10526315789474,0,0.694444444444444,1.0,ReadingArea_rsl0-rcl44-esl29-rsm0-rcm25-esm310-rsr0-rcr69-esr100,exr/ReadingArea_rsl0-rcl44-esl29-rsm0-rcm25-esm310-rsr0-rcr69-esr100.exr,ReadingArea_rsl0-rcl44-esl29-rsm0-rcm25-esm310-rsr0-rcr69-esr100.npz,,,,,0,16,16,279,,right,red,1.03,1745.1635949611664,1745.5067110061646,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
0,4,9,0,0.027777777777778,0.298245614035088,0,0.694444444444444,0.298245614035088,0,0.444444444444444,1.0,ReadingArea_rsl0-rcl2-esl29-rsm0-rcm69-esm29-rsr0-rcr44-esr100,exr/ReadingArea_rsl0-rcl2-esl29-rsm0-rcm69-esm29-rsr0-rcr44-esr100.exr,ReadingArea_rsl0-rcl2-esl29-rsm0-rcm69-esm29-rsr0-rcr44-esr100.npz,,,,,0,17,17,21,,right,red,1.3,1747.2084510326383,1747.558011054993,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
13,10,3,0,0.111111111111111,3.10526315789474,0,0.694444444444444,1.0,0,0.444444444444444,0.298245614035088,ReadingArea_rsl0-rcl11-esl310-rsm0-rcm69-esm100-rsr0-rcr44-esr29,exr/ReadingArea_rsl0-rcl11-esl310-rsm0-rcm69-esm100-rsr0-rcr44-esr29.exr,ReadingArea_rsl0-rcl11-esl310-rsm0-rcm69-esm100-rsr0-rcr44-esr29.npz,,,,,0,18,18,224,,left,green,2.61,1751.008188009262,1751.357568025589,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
10,1,13,0,0.694444444444444,1.0,0,0.111111111111111,0.298245614035088,0,0.111111111111111,3.10526315789474,ReadingArea_rsl0-rcl69-esl100-rsm0-rcm11-esm29-rsr0-rcr11-esr310,exr/ReadingArea_rsl0-rcl69-esl100-rsm0-rcm11-esm29-rsr0-rcr11-esr310.exr,ReadingArea_rsl0-rcl69-esl100-rsm0-rcm11-esm29-rsr0-rcr11-esr310.npz,,,,,0,19,19,45,,right,red,1.45,1753.072270154953,1753.4140889644625,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
14,10,9,0,0.25,3.10526315789474,0,0.694444444444444,1.0,0,0.444444444444444,1.0,ReadingArea_rsl0-rcl25-esl310-rsm0-rcm69-esm100-rsr0-rcr44-esr100,exr/ReadingArea_rsl0-rcl25-esl310-rsm0-rcm69-esm100-rsr0-rcr44-esr100.exr,ReadingArea_rsl0-rcl25-esl310-rsm0-rcm69-esm100-rsr0-rcr44-esr100.npz,,,,,0,20,20,402,,left,green,2.42,1756.8934710025787,1757.2416570186615,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
14,1,13,0,0.25,3.10526315789474,0,0.111111111111111,0.298245614035088,0,0.111111111111111,3.10526315789474,ReadingArea_rsl0-rcl25-esl310-rsm0-rcm11-esm29-rsr0-rcr11-esr310,exr/ReadingArea_rsl0-rcl25-esl310-rsm0-rcm11-esm29-rsr0-rcr11-esr310.exr,ReadingArea_rsl0-rcl25-esl310-rsm0-rcm11-esm29-rsr0-rcr11-esr310.npz,,,,,0,21,21,265,,right,red,2.61,1760.7006220817566,,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
12,11,6,0,0.027777777777778,3.10526315789474,0,1.0,1.0,0,0.027777777777778,1.0,ReadingArea_rsl0-rcl2-esl310-rsm0-rcm100-esm100-rsr0-rcr2-esr100,exr/ReadingArea_rsl0-rcl2-esl310-rsm0-rcm100-esm100-rsr0-rcr2-esr100.exr,ReadingArea_rsl0-rcl2-esl310-rsm0-rcm100-esm100-rsr0-rcr2-esr100.npz,,,,,0,22,22,163,,left,green,1.38,1762.7632710933683,1763.108258008957,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
8,12,13,0,0.25,1.0,0,0.027777777777778,3.10526315789474,0,0.111111111111111,3.10526315789474,ReadingArea_rsl0-rcl25-esl100-rsm0-rcm2-esm310-rsr0-rcr11-esr310,exr/ReadingArea_rsl0-rcl25-esl100-rsm0-rcm2-esm310-rsr0-rcr11-esr310.exr,ReadingArea_rsl0-rcl25-esl100-rsm0-rcm2-esm310-rsr0-rcr11-esr310.npz,,,,,0,23,23,275,,left,green,1.24,1764.7971711158752,1765.1415691375732,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
1,12,6,0,0.111111111111111,0.298245614035088,0,0.027777777777778,3.10526315789474,0,0.027777777777778,1.0,ReadingArea_rsl0-rcl11-esl29-rsm0-rcm2-esm310-rsr0-rcr2-esr100,exr/ReadingArea_rsl0-rcl11-esl29-rsm0-rcm2-esm310-rsr0-rcr2-esr100.exr,ReadingArea_rsl0-rcl11-esl29-rsm0-rcm2-esm310-rsr0-rcr2-esr100.npz,,,,,0,24,24,277,,left,green,1.47,1766.8450710773468,1767.191493988037,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
5,2,7,0,1.0,0.298245614035088,0,0.25,0.298245614035088,0,0.111111111111111,1.0,ReadingArea_rsl0-rcl100-esl29-rsm0-rcm25-esm29-rsr0-rcr11-esr100,exr/ReadingArea_rsl0-rcl100-esl29-rsm0-rcm25-esm29-rsr0-rcr11-esr100.exr,ReadingArea_rsl0-rcl100-esl29-rsm0-rcm25-esm29-rsr0-rcr11-esr100.npz,,,,,0,25,25,179,,right,red,0.92,1768.9065690040588,1769.2490589618685,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
7,6,11,0,0.111111111111111,1.0,0,0.027777777777778,1.0,0,1.0,1.0,ReadingArea_rsl0-rcl11-esl100-rsm0-rcm2-esm100-rsr0-rcr100-esr100,exr/ReadingArea_rsl0-rcl11-esl100-rsm0-rcm2-esm100-rsr0-rcr100-esr100.exr,ReadingArea_rsl0-rcl11-esl100-rsm0-rcm2-esm100-rsr0-rcr100-esr100.npz,,,,,0,26,26,84,,left,green,1.28,1770.958039045334,1771.3014800548551,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
6,12,8,0,0.027777777777778,1.0,0,0.027777777777778,3.10526315789474,0,0.25,1.0,ReadingArea_rsl0-rcl2-esl100-rsm0-rcm2-esm310-rsr0-rcr25-esr100,exr/ReadingArea_rsl0-rcl2-esl100-rsm0-rcm2-esm310-rsr0-rcr25-esr100.exr,ReadingArea_rsl0-rcl2-esl100-rsm0-rcm2-esm310-rsr0-rcr25-esr100.npz,,,,,0,27,27,186,,right,red,4.52,1776.5295960903168,1776.8780200481417,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
2,14,8,0,0.25,0.298245614035088,0,0.25,3.10526315789474,0,0.25,1.0,ReadingArea_rsl0-rcl25-esl29-rsm0-rcm25-esm310-rsr0-rcr25-esr100,exr/ReadingArea_rsl0-rcl25-esl29-rsm0-rcm25-esm310-rsr0-rcr25-esr100.exr,ReadingArea_rsl0-rcl25-esl29-rsm0-rcm25-esm310-rsr0-rcr25-esr100.npz,,,,,0,28,28,255,,right,red,2.39,1780.3727750778198,1780.7201800346377,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
12,13,14,0,0.027777777777778,3.10526315789474,0,0.111111111111111,3.10526315789474,0,0.25,3.10526315789474,ReadingArea_rsl0-rcl2-esl310-rsm0-rcm11-esm310-rsr0-rcr25-esr310,exr/ReadingArea_rsl0-rcl2-esl310-rsm0-rcm11-esm310-rsr0-rcr25-esr310.exr,ReadingArea_rsl0-rcl2-esl310-rsm0-rcm11-esm310-rsr0-rcr25-esr310.npz,,,,,0,29,29,208,,left,green,4.62,1785.977332115173,1786.3236510753632,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
3,6,11,0,0.444444444444444,0.298245614035088,0,0.027777777777778,1.0,0,1.0,1.0,ReadingArea_rsl0-rcl44-esl29-rsm0-rcm2-esm100-rsr0-rcr100-esr100,exr/ReadingArea_rsl0-rcl44-esl29-rsm0-rcm2-esm100-rsr0-rcr100-esr100.exr,ReadingArea_rsl0-rcl44-esl29-rsm0-rcm2-esm100-rsr0-rcr100-esr100.npz,,,,,0,30,30,155,,left,green,3.06,1789.8256831169128,1790.172569990158,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
10,9,6,0,0.694444444444444,1.0,0,0.444444444444444,1.0,0,0.027777777777778,1.0,ReadingArea_rsl0-rcl69-esl100-rsm0-rcm44-esm100-rsr0-rcr2-esr100,exr/ReadingArea_rsl0-rcl69-esl100-rsm0-rcm44-esm100-rsr0-rcr2-esr100.exr,ReadingArea_rsl0-rcl69-esl100-rsm0-rcm44-esm100-rsr0-rcr2-esr100.npz,,,,,0,31,31,35,,left,green,2.51,1793.6581151485443,1794.0044679641724,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
4,10,6,0,0.694444444444444,0.298245614035088,0,0.694444444444444,1.0,0,0.027777777777778,1.0,ReadingArea_rsl0-rcl69-esl29-rsm0-rcm69-esm100-rsr0-rcr2-esr100,exr/ReadingArea_rsl0-rcl69-esl29-rsm0-rcm69-esm100-rsr0-rcr2-esr100.exr,ReadingArea_rsl0-rcl69-esl29-rsm0-rcm69-esm100-rsr0-rcr2-esr100.npz,,,,,0,32,32,468,,left,green,1.9,1797.4963309764862,1797.840434074402,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
2,11,7,0,0.25,0.298245614035088,0,1.0,1.0,0,0.111111111111111,1.0,ReadingArea_rsl0-rcl25-esl29-rsm0-rcm100-esm100-rsr0-rcr11-esr100,exr/ReadingArea_rsl0-rcl25-esl29-rsm0-rcm100-esm100-rsr0-rcr11-esr100.exr,ReadingArea_rsl0-rcl25-esl29-rsm0-rcm100-esm100-rsr0-rcr11-esr100.npz,,,,,0,33,33,576,,left,green,0.6,1799.554302930832,1799.8977110385897,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
1,7,8,0,0.111111111111111,0.298245614035088,0,0.111111111111111,1.0,0,0.25,1.0,ReadingArea_rsl0-rcl11-esl29-rsm0-rcm11-esm100-rsr0-rcr25-esr100,exr/ReadingArea_rsl0-rcl11-esl29-rsm0-rcm11-esm100-rsr0-rcr25-esr100.exr,ReadingArea_rsl0-rcl11-esl29-rsm0-rcm11-esm100-rsr0-rcr25-esr100.npz,,,,,0,34,34,260,,right,red,1.17,1801.6082689762115,1801.9565169811249,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
0,14,6,0,0.027777777777778,0.298245614035088,0,0.25,3.10526315789474,0,0.027777777777778,1.0,ReadingArea_rsl0-rcl2-esl29-rsm0-rcm25-esm310-rsr0-rcr2-esr100,exr/ReadingArea_rsl0-rcl2-esl29-rsm0-rcm25-esm310-rsr0-rcr2-esr100.exr,ReadingArea_rsl0-rcl2-esl29-rsm0-rcm25-esm310-rsr0-rcr2-esr100.npz,,,,,0,35,35,499,,right,red,2.58,1805.407576084137,,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
12,3,11,0,0.027777777777778,3.10526315789474,0,0.444444444444444,0.298245614035088,0,1.0,1.0,ReadingArea_rsl0-rcl2-esl310-rsm0-rcm44-esm29-rsr0-rcr100-esr100,exr/ReadingArea_rsl0-rcl2-esl310-rsm0-rcm44-esm29-rsr0-rcr100-esr100.exr,ReadingArea_rsl0-rcl2-esl310-rsm0-rcm44-esm29-rsr0-rcr100-esr100.npz,,,,,0,36,36,83,,left,green,2.28,1809.3174350261688,1809.6685800552368,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
5,0,10,0,1.0,0.298245614035088,0,0.027777777777778,0.298245614035088,0,0.694444444444444,1.0,ReadingArea_rsl0-rcl100-esl29-rsm0-rcm2-esm29-rsr0-rcr69-esr100,exr/ReadingArea_rsl0-rcl100-esl29-rsm0-rcm2-esm29-rsr0-rcr69-esr100.exr,ReadingArea_rsl0-rcl100-esl29-rsm0-rcm2-esm29-rsr0-rcr69-esr100.npz,,,,,0,37,37,361,,left,green,2.89,1813.1246049404144,1813.4873399734497,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
7,8,12,0,0.111111111111111,1.0,0,0.25,1.0,0,0.027777777777778,3.10526315789474,ReadingArea_rsl0-rcl11-esl100-rsm0-rcm25-esm100-rsr0-rcr2-esr310,exr/ReadingArea_rsl0-rcl11-esl100-rsm0-rcm25-esm100-rsr0-rcr2-esr310.exr,ReadingArea_rsl0-rcl11-esl100-rsm0-rcm25-esm100-rsr0-rcr2-esr310.npz,,,,,0,38,38,271,,left,green,2.52,1816.9782371521,1817.3274540901184,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
3,6,13,0,0.444444444444444,0.298245614035088,0,0.027777777777778,1.0,0,0.111111111111111,3.10526315789474,ReadingArea_rsl0-rcl44-esl29-rsm0-rcm2-esm100-rsr0-rcr11-esr310,exr/ReadingArea_rsl0-rcl44-esl29-rsm0-rcm2-esm100-rsr0-rcr11-esr310.exr,ReadingArea_rsl0-rcl44-esl29-rsm0-rcm2-esm100-rsr0-rcr11-esr310.npz,,,,,0,39,39,449,,left,green,2.45,1820.7978041172028,1821.148293018341,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
3,11,2,0,0.444444444444444,0.298245614035088,0,1.0,1.0,0,0.25,0.298245614035088,ReadingArea_rsl0-rcl44-esl29-rsm0-rcm100-esm100-rsr0-rcr25-esr29,exr/ReadingArea_rsl0-rcl44-esl29-rsm0-rcm100-esm100-rsr0-rcr25-esr29.exr,ReadingArea_rsl0-rcl44-esl29-rsm0-rcm100-esm100-rsr0-rcr25-esr29.npz,,,,,0,40,40,220,,left,green,2.96,1824.634240150452,1824.98986196518,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
9,7,2,0,0.444444444444444,1.0,0,0.111111111111111,1.0,0,0.25,0.298245614035088,ReadingArea_rsl0-rcl44-esl100-rsm0-rcm11-esm100-rsr0-rcr25-esr29,exr/ReadingArea_rsl0-rcl44-esl100-rsm0-rcm11-esm100-rsr0-rcr25-esr29.exr,ReadingArea_rsl0-rcl44-esl100-rsm0-rcm11-esm100-rsr0-rcr25-esr29.npz,,,,,0,41,41,428,,right,red,2.51,1828.4687521457672,1828.8146121501925,,,1,,6,1,lightness,readingArea,realistic,75,2023-03-22_15h06.57.545,tripletExp_regina_11082022,2022.2.4,120.27919727914566,
