index_left,index_middle,index_right,reflectance_surround_left,reflectance_center_left,emission_spot_left,reflectance_surround_middle,reflectance_center_middle,emission_spot_middle,reflectance_surround_right,reflectance_center_right,emission_spot_right,ImageName,ImageExr,ImageNpy,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sound_1.started,BB_Trial.resp,BB_Trial.color,BB_Trial.rt,text.started,text.stopped,sound_1.stopped,block,sound_4.started,participant,session,L/B,scene,condition,nTrialsPerBlock,date,expName,psychopyVersion,frameRate
7,1,9,0,0.111111111111111,1.0,0,0.111111111111111,0.298245614035088,0,0.444444444444444,1.0,ReadingArea_rsl2-rcl11-esl100-rsm2-rcm11-esm29-rsr2-rcr44-esr100,exr/ReadingArea_rsl2-rcl11-esl100-rsm2-rcm11-esm29-rsr2-rcr44-esr100.exr,ReadingArea_rsl2-rcl11-esl100-rsm2-rcm11-esm29-rsr2-rcr44-esr100.npz,,,,,0,10,10,410,,left,green,1.0,141.791646957397,,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
2,0,14,0,0.25,0.298245614035088,0,0.027777777777778,0.298245614035088,0,0.25,3.10526315789474,ReadingArea_rsl2-rcl25-esl29-rsm2-rcm2-esm29-rsr2-rcr25-esr310,exr/ReadingArea_rsl2-rcl25-esl29-rsm2-rcm2-esm29-rsr2-rcr25-esr310.exr,ReadingArea_rsl2-rcl25-esl29-rsm2-rcm2-esm29-rsr2-rcr25-esr310.npz,,,,,0,11,11,362,,left,green,1.38,143.825886964798,144.176842927933,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
4,7,13,0,0.694444444444444,0.298245614035088,0,0.111111111111111,1.0,0,0.111111111111111,3.10526315789474,ReadingArea_rsl2-rcl69-esl29-rsm2-rcm11-esm100-rsr2-rcr11-esr310,exr/ReadingArea_rsl2-rcl69-esl29-rsm2-rcm11-esm100-rsr2-rcr11-esr310.exr,ReadingArea_rsl2-rcl69-esl29-rsm2-rcm11-esm100-rsr2-rcr11-esr310.npz,,,,,0,12,12,384,,left,green,2.96,147.649432897568,148.019249916077,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
10,9,3,0,0.694444444444444,1.0,0,0.444444444444444,1.0,0,0.444444444444444,0.298245614035088,ReadingArea_rsl2-rcl69-esl100-rsm2-rcm44-esm100-rsr2-rcr44-esr29,exr/ReadingArea_rsl2-rcl69-esl100-rsm2-rcm44-esm100-rsr2-rcr44-esr29.exr,ReadingArea_rsl2-rcl69-esl100-rsm2-rcm44-esm100-rsr2-rcr44-esr29.npz,,,,,0,13,13,461,,right,red,1.17,149.696316957474,150.032446861267,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
4,14,7,0,0.694444444444444,0.298245614035088,0,0.25,3.10526315789474,0,0.111111111111111,1.0,ReadingArea_rsl2-rcl69-esl29-rsm2-rcm25-esm310-rsr2-rcr11-esr100,exr/ReadingArea_rsl2-rcl69-esl29-rsm2-rcm25-esm310-rsr2-rcr11-esr100.exr,ReadingArea_rsl2-rcl69-esl29-rsm2-rcm25-esm310-rsr2-rcr11-esr100.npz,,,,,0,14,14,301,,left,green,1.18,151.730175971985,152.055124044418,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
2,9,7,0,0.25,0.298245614035088,0,0.444444444444444,1.0,0,0.111111111111111,1.0,ReadingArea_rsl2-rcl25-esl29-rsm2-rcm44-esm100-rsr2-rcr11-esr100,exr/ReadingArea_rsl2-rcl25-esl29-rsm2-rcm44-esm100-rsr2-rcr11-esr100.exr,ReadingArea_rsl2-rcl25-esl29-rsm2-rcm44-esm100-rsr2-rcr11-esr100.npz,,,,,0,15,15,174,,right,red,1.38,153.755477905273,154.095089912415,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
7,4,10,0,0.111111111111111,1.0,0,0.694444444444444,0.298245614035088,0,0.694444444444444,1.0,ReadingArea_rsl2-rcl11-esl100-rsm2-rcm69-esm29-rsr2-rcr69-esr100,exr/ReadingArea_rsl2-rcl11-esl100-rsm2-rcm69-esm29-rsr2-rcr69-esr100.exr,ReadingArea_rsl2-rcl11-esl100-rsm2-rcm69-esm29-rsr2-rcr69-esr100.npz,,,,,0,16,16,177,,left,green,2.76,157.559938907623,157.884577035904,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
0,10,12,0,0.027777777777778,0.298245614035088,0,0.694444444444444,1.0,0,0.027777777777778,3.10526315789474,ReadingArea_rsl2-rcl2-esl29-rsm2-rcm69-esm100-rsr2-rcr2-esr310,exr/ReadingArea_rsl2-rcl2-esl29-rsm2-rcm69-esm100-rsr2-rcr2-esr310.exr,ReadingArea_rsl2-rcl2-esl29-rsm2-rcm69-esm100-rsr2-rcr2-esr310.npz,,,,,0,17,17,383,,right,red,3.05,161.350970983505,161.688447952271,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
4,13,8,0,0.694444444444444,0.298245614035088,0,0.111111111111111,3.10526315789474,0,0.25,1.0,ReadingArea_rsl2-rcl69-esl29-rsm2-rcm11-esm310-rsr2-rcr25-esr100,exr/ReadingArea_rsl2-rcl69-esl29-rsm2-rcm11-esm310-rsr2-rcr25-esr100.exr,ReadingArea_rsl2-rcl69-esl29-rsm2-rcm11-esm310-rsr2-rcr25-esr100.npz,,,,,0,18,18,55,,right,red,2.98,165.175351858139,165.592257976532,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
13,0,3,0,0.111111111111111,3.10526315789474,0,0.027777777777778,0.298245614035088,0,0.444444444444444,0.298245614035088,ReadingArea_rsl2-rcl11-esl310-rsm2-rcm2-esm29-rsr2-rcr44-esr29,exr/ReadingArea_rsl2-rcl11-esl310-rsm2-rcm2-esm29-rsr2-rcr44-esr29.exr,ReadingArea_rsl2-rcl11-esl310-rsm2-rcm2-esm29-rsr2-rcr44-esr29.npz,,,,,0,19,19,291,,right,red,1.22,167.282661914825,167.609112977982,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
7,12,14,0,0.111111111111111,1.0,0,0.027777777777778,3.10526315789474,0,0.25,3.10526315789474,ReadingArea_rsl2-rcl11-esl100-rsm2-rcm2-esm310-rsr2-rcr25-esr310,exr/ReadingArea_rsl2-rcl11-esl100-rsm2-rcm2-esm310-rsr2-rcr25-esr310.exr,ReadingArea_rsl2-rcl11-esl100-rsm2-rcm2-esm310-rsr2-rcr25-esr310.npz,,,,,0,20,20,269,,left,green,1.65,169.313279867172,,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
13,10,8,0,0.111111111111111,3.10526315789474,0,0.694444444444444,1.0,0,0.25,1.0,ReadingArea_rsl2-rcl11-esl310-rsm2-rcm69-esm100-rsr2-rcr25-esr100,exr/ReadingArea_rsl2-rcl11-esl310-rsm2-rcm69-esm100-rsr2-rcr25-esr100.exr,ReadingArea_rsl2-rcl11-esl310-rsm2-rcm69-esm100-rsr2-rcr25-esr100.npz,,,,,0,21,21,76,,left,green,1.15,171.345923900604,,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
1,11,5,0,0.111111111111111,0.298245614035088,0,1.0,1.0,0,1.0,0.298245614035088,ReadingArea_rsl2-rcl11-esl29-rsm2-rcm100-esm100-rsr2-rcr100-esr29,exr/ReadingArea_rsl2-rcl11-esl29-rsm2-rcm100-esm100-rsr2-rcr100-esr29.exr,ReadingArea_rsl2-rcl11-esl29-rsm2-rcm100-esm100-rsr2-rcr100-esr29.npz,,,,,0,22,22,332,,right,red,1.23,173.379971981049,,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
7,14,10,0,0.111111111111111,1.0,0,0.25,3.10526315789474,0,0.694444444444444,1.0,ReadingArea_rsl2-rcl11-esl100-rsm2-rcm25-esm310-rsr2-rcr69-esr100,exr/ReadingArea_rsl2-rcl11-esl100-rsm2-rcm25-esm310-rsr2-rcr69-esr100.exr,ReadingArea_rsl2-rcl11-esl100-rsm2-rcm25-esm310-rsr2-rcr69-esr100.npz,,,,,0,23,23,146,,right,red,0.96,175.403980970383,175.838049888611,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
14,8,0,0,0.25,3.10526315789474,0,0.25,1.0,0,0.027777777777778,0.298245614035088,ReadingArea_rsl2-rcl25-esl310-rsm2-rcm25-esm100-rsr2-rcr2-esr29,exr/ReadingArea_rsl2-rcl25-esl310-rsm2-rcm25-esm100-rsr2-rcr2-esr29.exr,ReadingArea_rsl2-rcl25-esl310-rsm2-rcm25-esm100-rsr2-rcr2-esr29.npz,,,,,0,24,24,327,,right,red,2.39,179.330768823624,,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
1,9,2,0,0.111111111111111,0.298245614035088,0,0.444444444444444,1.0,0,0.25,0.298245614035088,ReadingArea_rsl2-rcl11-esl29-rsm2-rcm44-esm100-rsr2-rcr25-esr29,exr/ReadingArea_rsl2-rcl11-esl29-rsm2-rcm44-esm100-rsr2-rcr25-esr29.exr,ReadingArea_rsl2-rcl11-esl29-rsm2-rcm44-esm100-rsr2-rcr25-esr29.npz,,,,,0,25,25,117,,right,red,1.25,181.347180843353,181.67779302597,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
3,6,13,0,0.444444444444444,0.298245614035088,0,0.027777777777778,1.0,0,0.111111111111111,3.10526315789474,ReadingArea_rsl2-rcl44-esl29-rsm2-rcm2-esm100-rsr2-rcr11-esr310,exr/ReadingArea_rsl2-rcl44-esl29-rsm2-rcm2-esm100-rsr2-rcr11-esr310.exr,ReadingArea_rsl2-rcl44-esl29-rsm2-rcm2-esm100-rsr2-rcr11-esr310.npz,,,,,0,26,26,349,,right,red,1.34,183.404111862183,183.733558893204,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
8,6,0,0,0.25,1.0,0,0.027777777777778,1.0,0,0.027777777777778,0.298245614035088,ReadingArea_rsl2-rcl25-esl100-rsm2-rcm2-esm100-rsr2-rcr2-esr29,exr/ReadingArea_rsl2-rcl25-esl100-rsm2-rcm2-esm100-rsr2-rcr2-esr29.exr,ReadingArea_rsl2-rcl25-esl100-rsm2-rcm2-esm100-rsr2-rcr2-esr29.npz,,,,,0,27,27,93,,right,red,1.25,185.419600009918,185.735564947128,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
10,14,11,0,0.694444444444444,1.0,0,0.25,3.10526315789474,0,1.0,1.0,ReadingArea_rsl2-rcl69-esl100-rsm2-rcm25-esm310-rsr2-rcr100-esr100,exr/ReadingArea_rsl2-rcl69-esl100-rsm2-rcm25-esm310-rsr2-rcr100-esr100.exr,ReadingArea_rsl2-rcl69-esl100-rsm2-rcm25-esm310-rsr2-rcr100-esr100.npz,,,,,0,28,28,387,,left,green,1.57,187.451068878174,187.78569483757,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
5,13,3,0,1.0,0.298245614035088,0,0.111111111111111,3.10526315789474,0,0.444444444444444,0.298245614035088,ReadingArea_rsl2-rcl100-esl29-rsm2-rcm11-esm310-rsr2-rcr44-esr29,exr/ReadingArea_rsl2-rcl100-esl29-rsm2-rcm11-esm310-rsr2-rcr44-esr29.exr,ReadingArea_rsl2-rcl100-esl29-rsm2-rcm11-esm310-rsr2-rcr44-esr29.npz,,,,,0,29,29,317,,left,green,4.47,193.031491041183,193.36573600769,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
11,13,6,0,1.0,1.0,0,0.111111111111111,3.10526315789474,0,0.027777777777778,1.0,ReadingArea_rsl2-rcl100-esl100-rsm2-rcm11-esm310-rsr2-rcr2-esr100,exr/ReadingArea_rsl2-rcl100-esl100-rsm2-rcm11-esm310-rsr2-rcr2-esr100.exr,ReadingArea_rsl2-rcl100-esl100-rsm2-rcm11-esm310-rsr2-rcr2-esr100.npz,,,,,0,30,30,449,,left,green,1.31,195.064209938049,195.38224196434,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
3,5,14,0,0.444444444444444,0.298245614035088,0,1.0,0.298245614035088,0,0.25,3.10526315789474,ReadingArea_rsl2-rcl44-esl29-rsm2-rcm100-esm29-rsr2-rcr25-esr310,exr/ReadingArea_rsl2-rcl44-esl29-rsm2-rcm100-esm29-rsr2-rcr25-esr310.exr,ReadingArea_rsl2-rcl44-esl29-rsm2-rcm100-esm29-rsr2-rcr25-esr310.npz,,,,,0,31,31,167,,left,green,0.96,197.068215847015,197.411073923111,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
11,12,14,0,1.0,1.0,0,0.027777777777778,3.10526315789474,0,0.25,3.10526315789474,ReadingArea_rsl2-rcl100-esl100-rsm2-rcm2-esm310-rsr2-rcr25-esr310,exr/ReadingArea_rsl2-rcl100-esl100-rsm2-rcm2-esm310-rsr2-rcr25-esr310.exr,ReadingArea_rsl2-rcl100-esl100-rsm2-rcm2-esm310-rsr2-rcr25-esr310.npz,,,,,0,32,32,278,,right,red,1.16,199.118443965912,199.458305835724,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
12,11,14,0,0.027777777777778,3.10526315789474,0,1.0,1.0,0,0.25,3.10526315789474,ReadingArea_rsl2-rcl2-esl310-rsm2-rcm100-esm100-rsr2-rcr25-esr310,exr/ReadingArea_rsl2-rcl2-esl310-rsm2-rcm100-esm100-rsr2-rcr25-esr310.exr,ReadingArea_rsl2-rcl2-esl310-rsm2-rcm100-esm100-rsr2-rcr25-esr310.npz,,,,,0,33,33,350,,right,red,1.25,201.153548002243,201.486061811447,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
2,5,13,0,0.25,0.298245614035088,0,1.0,0.298245614035088,0,0.111111111111111,3.10526315789474,ReadingArea_rsl2-rcl25-esl29-rsm2-rcm100-esm29-rsr2-rcr11-esr310,exr/ReadingArea_rsl2-rcl25-esl29-rsm2-rcm100-esm29-rsr2-rcr11-esr310.exr,ReadingArea_rsl2-rcl25-esl29-rsm2-rcm100-esm29-rsr2-rcr11-esr310.npz,,,,,0,34,34,246,,right,red,1.05,203.204622983933,203.523936986923,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
9,10,6,0,0.444444444444444,1.0,0,0.694444444444444,1.0,0,0.027777777777778,1.0,ReadingArea_rsl2-rcl44-esl100-rsm2-rcm69-esm100-rsr2-rcr2-esr100,exr/ReadingArea_rsl2-rcl44-esl100-rsm2-rcm69-esm100-rsr2-rcr2-esr100.exr,ReadingArea_rsl2-rcl44-esl100-rsm2-rcm69-esm100-rsr2-rcr2-esr100.npz,,,,,0,35,35,304,,left,green,0.91,205.216993808746,205.542405843735,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
12,14,9,0,0.027777777777778,3.10526315789474,0,0.25,3.10526315789474,0,0.444444444444444,1.0,ReadingArea_rsl2-rcl2-esl310-rsm2-rcm25-esm310-rsr2-rcr44-esr100,exr/ReadingArea_rsl2-rcl2-esl310-rsm2-rcm25-esm310-rsr2-rcr44-esr100.exr,ReadingArea_rsl2-rcl2-esl310-rsm2-rcm25-esm310-rsr2-rcr44-esr100.npz,,,,,0,36,36,366,,right,red,0.92,207.235965967178,207.57063293457,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
12,8,10,0,0.027777777777778,3.10526315789474,0,0.25,1.0,0,0.694444444444444,1.0,ReadingArea_rsl2-rcl2-esl310-rsm2-rcm25-esm100-rsr2-rcr69-esr100,exr/ReadingArea_rsl2-rcl2-esl310-rsm2-rcm25-esm100-rsr2-rcr69-esr100.exr,ReadingArea_rsl2-rcl2-esl310-rsm2-rcm25-esm100-rsr2-rcr69-esr100.npz,,,,,0,37,37,502,,left,green,1.3,209.264670848846,209.653023004532,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
8,12,13,0,0.25,1.0,0,0.027777777777778,3.10526315789474,0,0.111111111111111,3.10526315789474,ReadingArea_rsl2-rcl25-esl100-rsm2-rcm2-esm310-rsr2-rcr11-esr310,exr/ReadingArea_rsl2-rcl25-esl100-rsm2-rcm2-esm310-rsr2-rcr11-esr310.exr,ReadingArea_rsl2-rcl25-esl100-rsm2-rcm2-esm310-rsr2-rcr11-esr310.npz,,,,,0,38,38,470,,left,green,2.9,213.094367027283,,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
8,14,11,0,0.25,1.0,0,0.25,3.10526315789474,0,1.0,1.0,ReadingArea_rsl2-rcl25-esl100-rsm2-rcm25-esm310-rsr2-rcr100-esr100,exr/ReadingArea_rsl2-rcl25-esl100-rsm2-rcm25-esm310-rsr2-rcr100-esr100.exr,ReadingArea_rsl2-rcl25-esl100-rsm2-rcm25-esm310-rsr2-rcr100-esr100.npz,,,,,0,39,39,25,,right,red,2.57,216.876368999481,217.192266941071,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
8,10,0,0,0.25,1.0,0,0.694444444444444,1.0,0,0.027777777777778,0.298245614035088,ReadingArea_rsl2-rcl25-esl100-rsm2-rcm69-esm100-rsr2-rcr2-esr29,exr/ReadingArea_rsl2-rcl25-esl100-rsm2-rcm69-esm100-rsr2-rcr2-esr29.exr,ReadingArea_rsl2-rcl25-esl100-rsm2-rcm69-esm100-rsr2-rcr2-esr29.npz,,,,,0,40,40,308,,left,green,1.09,218.908285856247,219.235885858536,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
11,13,9,0,1.0,1.0,0,0.111111111111111,3.10526315789474,0,0.444444444444444,1.0,ReadingArea_rsl2-rcl100-esl100-rsm2-rcm11-esm310-rsr2-rcr44-esr100,exr/ReadingArea_rsl2-rcl100-esl100-rsm2-rcm11-esm310-rsr2-rcr44-esr100.exr,ReadingArea_rsl2-rcl100-esl100-rsm2-rcm11-esm310-rsr2-rcr44-esr100.npz,,,,,0,41,41,160,,right,red,2.06,222.707545995712,223.040752887726,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
14,11,8,0,0.25,3.10526315789474,0,1.0,1.0,0,0.25,1.0,ReadingArea_rsl2-rcl25-esl310-rsm2-rcm100-esm100-rsr2-rcr25-esr100,exr/ReadingArea_rsl2-rcl25-esl310-rsm2-rcm100-esm100-rsr2-rcr25-esr100.exr,ReadingArea_rsl2-rcl25-esl310-rsm2-rcm100-esm100-rsr2-rcr25-esr100.npz,,,,,0,42,42,425,,left,green,1.1,224.736248016357,225.069687843323,,1,,AS,2,lightness,readingArea,mean,72,2023-03-10_14h54.01.506,tripletExp_regina_11082022,2022.2.4,120.183729666381
